degradation_type,true_method,n_items,n_rated,artifact_removal_mean,detail_preservation_mean,texture_authenticity_mean,over_smoothing_mean,hallucination_risk_mean,overall_mean,human_composite_mean,choose_yes,choose_maybe,choose_no,choose_yes_or_maybe,choose_yes_rate,choose_yes_or_maybe_rate
scratch_dust,inpaint_or_denoise,7,7,4.857142857142857,3.142857142857143,3.7142857142857144,2.7142857142857144,2.0,3.7142857142857144,7.214285714285714,4,2,1,6,0.5714285714285714,0.8571428571428571
blur_contrast,conditional_ddpm_v1_100_steps,7,7,3.5714285714285716,3.4285714285714284,3.5714285714285716,2.7142857142857144,2.4285714285714284,3.5714285714285716,6.285714285714286,3,3,1,6,0.42857142857142855,0.8571428571428571
scratch_dust,conditional_ddpm_v1_50_steps,7,7,4.142857142857143,2.7142857142857144,3.0,2.857142857142857,2.4285714285714284,3.5714285714285716,5.857142857142857,1,4,2,5,0.14285714285714285,0.7142857142857143
blur_contrast,conditional_ddpm_v1_50_steps,7,7,3.7142857142857144,3.142857142857143,3.4285714285714284,2.4285714285714284,2.0,3.4285714285714284,6.357142857142857,1,4,2,5,0.14285714285714285,0.7142857142857143
blur_contrast,conditional_ddpm_v2_test_50_steps,7,7,3.4285714285714284,3.0,3.142857142857143,2.7142857142857144,1.7142857142857142,3.142857142857143,5.714285714285714,2,4,1,6,0.2857142857142857,0.8571428571428571
grain,conditional_ddpm_v1_100_steps,7,7,3.857142857142857,2.857142857142857,3.0,2.5714285714285716,2.2857142857142856,3.142857142857143,5.571428571428571,2,3,2,5,0.2857142857142857,0.7142857142857143
scratch_dust,conditional_ddpm_v1_100_steps,7,7,4.142857142857143,2.5714285714285716,3.142857142857143,2.857142857142857,2.4285714285714284,2.857142857142857,5.142857142857143,1,3,3,4,0.14285714285714285,0.5714285714285714
grain,conditional_ddpm_v1_50_steps,7,7,3.4285714285714284,2.4285714285714284,2.857142857142857,3.0,2.7142857142857144,2.7142857142857144,4.214285714285714,1,3,3,4,0.14285714285714285,0.5714285714285714
grain,conditional_ddpm_v2_test_50_steps,7,7,3.5714285714285716,2.2857142857142856,2.5714285714285716,3.5714285714285716,2.5714285714285716,2.5714285714285716,3.7142857142857144,0,2,5,2,0.0,0.2857142857142857
scratch_dust,conditional_ddpm_v2_test_50_steps,7,7,2.7142857142857144,1.8571428571428572,3.0,2.857142857142857,2.5714285714285716,2.2857142857142856,3.357142857142857,0,1,5,1,0.0,0.14285714285714285
grain,inpaint_or_denoise,7,7,1.5714285714285714,2.2857142857142856,2.857142857142857,1.7142857142857142,1.2857142857142858,2.0,3.857142857142857,0,0,6,0,0.0,0.0
grain,unchanged,7,7,1.2857142857142858,2.2857142857142856,3.0,1.4285714285714286,1.4285714285714286,1.8571428571428572,3.7142857142857144,0,1,6,1,0.0,0.14285714285714285
blur_contrast,unchanged,7,7,1.5714285714285714,2.0,2.2857142857142856,2.857142857142857,1.7142857142857142,1.8571428571428572,2.5,0,0,7,0,0.0,0.0
grain,nl_means_denoise,7,7,1.5714285714285714,2.142857142857143,2.7142857142857144,1.7142857142857142,1.2857142857142858,1.8571428571428572,3.5714285714285716,0,0,7,0,0.0,0.0
blur_contrast,median,7,7,1.5714285714285714,1.5714285714285714,2.5714285714285716,3.2857142857142856,1.8571428571428572,1.7142857142857142,2.0,0,0,7,0,0.0,0.0
grain,median,7,7,2.2857142857142856,1.8571428571428572,2.2857142857142856,3.5714285714285716,2.142857142857143,1.7142857142857142,2.0714285714285716,0,0,7,0,0.0,0.0
scratch_dust,unchanged,7,7,1.0,2.4285714285714284,3.142857142857143,1.5714285714285714,1.4285714285714286,1.7142857142857142,3.5,0,0,7,0,0.0,0.0
scratch_dust,nl_means_denoise,7,7,1.0,2.2857142857142856,2.5714285714285716,2.5714285714285716,2.2857142857142856,1.5714285714285714,2.0714285714285716,0,0,7,0,0.0,0.0
blur_contrast,inpaint_or_denoise,7,7,1.1428571428571428,1.2857142857142858,2.0,3.4285714285714284,2.2857142857142856,1.4285714285714286,0.7857142857142857,0,0,7,0,0.0,0.0
blur_contrast,nl_means_denoise,7,7,1.0,1.0,1.8571428571428572,3.857142857142857,2.7142857142857144,1.2857142857142858,-0.07142857142857142,0,0,7,0,0.0,0.0
scratch_dust,median,7,7,1.1428571428571428,1.7142857142857142,2.142857142857143,3.4285714285714284,2.7142857142857144,1.1428571428571428,0.5714285714285714,0,0,7,0,0.0,0.0
