review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes
review_00001,example_00026,grain,test,Output 00001,4,3,3,3,2,3,maybe,
review_00002,example_00026,grain,test,Output 00002,5,3,3,4,3,3,no,
review_00003,example_00026,grain,test,Output 00003,4,3,4,3,1,4,yes,
review_00004,example_00026,grain,test,Output 00004,3,4,3,1,1,3,maybe,
review_00005,example_00026,grain,test,Output 00005,5,4,3,3,2,4,yes,
review_00006,example_00121,scratch_dust,test,Output 00006,5,3,4,3,1,4,yes,
review_00007,example_00121,scratch_dust,test,Output 00007,2,3,2,4,3,2,no,
review_00008,example_00121,scratch_dust,test,Output 00008,1,3,3,3,3,2,no,
review_00009,example_00121,scratch_dust,test,Output 00009,5,2,2,4,4,1,no,
review_00010,example_00121,scratch_dust,test,Output 00010,5,3,3,3,3,3,maybe,
review_00011,example_00052,scratch_dust,test,Output 00011,5,3,4,2,1,4,yes,
review_00012,example_00052,scratch_dust,test,Output 00012,2,3,3,3,2,2,no,
review_00013,example_00052,scratch_dust,test,Output 00013,5,4,4,2,2,4,yes,
review_00014,example_00052,scratch_dust,test,Output 00014,5,2,3,4,3,3,maybe,
review_00015,example_00052,scratch_dust,test,Output 00015,5,3,3,3,2,3,maybe,
review_00016,example_00023,grain,test,Output 00016,4,2,3,2,3,3,maybe,
review_00017,example_00023,grain,test,Output 00017,4,3,3,3,3,3,no,
review_00018,example_00023,grain,test,Output 00018,2,3,3,2,2,2,no,
review_00019,example_00023,grain,test,Output 00019,4,3,3,2,1,3,maybe,
review_00020,example_00023,grain,test,Output 00020,4,4,3,2,1,4,yes,
review_00021,example_00123,blur_contrast,test,Output 00021,4,3,3,3,2,3,maybe,
review_00022,example_00123,blur_contrast,test,Output 00022,4,4,4,2,2,4,yes,
review_00023,example_00123,blur_contrast,test,Output 00023,3,2,3,4,3,3,no,
review_00024,example_00123,blur_contrast,test,Output 00024,2,2,3,3,1,3,no,
review_00025,example_00123,blur_contrast,test,Output 00025,3,3,2,3,2,3,no,
review_00026,example_00046,scratch_dust,test,Output 00026,1,3,3,2,2,2,no,
review_00027,example_00046,scratch_dust,test,Output 00027,5,3,4,3,2,4,yes,
review_00028,example_00046,scratch_dust,test,Output 00028,4,3,4,2,2,4,yes,
review_00029,example_00046,scratch_dust,test,Output 00029,2,3,3,3,2,2,no,
review_00030,example_00046,scratch_dust,test,Output 00030,2,3,2,3,2,2,no,
review_00031,example_00045,blur_contrast,test,Output 00031,4,4,3,3,2,4,yes,
review_00032,example_00045,blur_contrast,test,Output 00032,5,4,5,2,2,5,yes,
review_00033,example_00045,blur_contrast,test,Output 00033,4,4,4,2,2,4,yes,
review_00034,example_00045,blur_contrast,test,Output 00034,4,3,3,3,2,3,no,
review_00035,example_00045,blur_contrast,test,Output 00035,3,4,2,3,2,3,maybe,
