review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes,true_method,prediction_path,manifest_path,human_composite_score
review_00001,example_00026,grain,test,Output 00001,4,3,3,3,2,3,maybe,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00026_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,5.5
review_00002,example_00026,grain,test,Output 00002,5,3,3,4,3,3,no,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00026_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,5.0
review_00003,example_00026,grain,test,Output 00003,4,3,4,3,1,4,yes,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00026_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,7.5
review_00004,example_00026,grain,test,Output 00004,3,4,3,1,1,3,maybe,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00026_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,7.0
review_00005,example_00026,grain,test,Output 00005,5,4,3,3,2,4,yes,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00026_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,7.5
review_00006,example_00121,scratch_dust,test,Output 00006,5,3,4,3,1,4,yes,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00121_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,8.0
review_00007,example_00121,scratch_dust,test,Output 00007,2,3,2,4,3,2,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00121_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,2.0
review_00008,example_00121,scratch_dust,test,Output 00008,1,3,3,3,3,2,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00121_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,2.5
review_00009,example_00121,scratch_dust,test,Output 00009,5,2,2,4,4,1,no,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00121_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,1.5
review_00010,example_00121,scratch_dust,test,Output 00010,5,3,3,3,3,3,maybe,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00121_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.5
