review_id,example_id,degradation_type,split,blind_label,image_path
review_00001,example_00026,grain,test,Output 00001,assets/review_00001_example_00026.png
review_00002,example_00026,grain,test,Output 00002,assets/review_00002_example_00026.png
review_00003,example_00026,grain,test,Output 00003,assets/review_00003_example_00026.png
review_00004,example_00026,grain,test,Output 00004,assets/review_00004_example_00026.png
review_00005,example_00026,grain,test,Output 00005,assets/review_00005_example_00026.png
review_00006,example_00121,scratch_dust,test,Output 00006,assets/review_00006_example_00121.png
review_00007,example_00121,scratch_dust,test,Output 00007,assets/review_00007_example_00121.png
review_00008,example_00121,scratch_dust,test,Output 00008,assets/review_00008_example_00121.png
review_00009,example_00121,scratch_dust,test,Output 00009,assets/review_00009_example_00121.png
review_00010,example_00121,scratch_dust,test,Output 00010,assets/review_00010_example_00121.png
review_00011,example_00052,scratch_dust,test,Output 00011,assets/review_00011_example_00052.png
review_00012,example_00052,scratch_dust,test,Output 00012,assets/review_00012_example_00052.png
review_00013,example_00052,scratch_dust,test,Output 00013,assets/review_00013_example_00052.png
review_00014,example_00052,scratch_dust,test,Output 00014,assets/review_00014_example_00052.png
review_00015,example_00052,scratch_dust,test,Output 00015,assets/review_00015_example_00052.png
review_00016,example_00023,grain,test,Output 00016,assets/review_00016_example_00023.png
review_00017,example_00023,grain,test,Output 00017,assets/review_00017_example_00023.png
review_00018,example_00023,grain,test,Output 00018,assets/review_00018_example_00023.png
review_00019,example_00023,grain,test,Output 00019,assets/review_00019_example_00023.png
review_00020,example_00023,grain,test,Output 00020,assets/review_00020_example_00023.png
review_00021,example_00123,blur_contrast,test,Output 00021,assets/review_00021_example_00123.png
review_00022,example_00123,blur_contrast,test,Output 00022,assets/review_00022_example_00123.png
review_00023,example_00123,blur_contrast,test,Output 00023,assets/review_00023_example_00123.png
review_00024,example_00123,blur_contrast,test,Output 00024,assets/review_00024_example_00123.png
review_00025,example_00123,blur_contrast,test,Output 00025,assets/review_00025_example_00123.png
review_00026,example_00046,scratch_dust,test,Output 00026,assets/review_00026_example_00046.png
review_00027,example_00046,scratch_dust,test,Output 00027,assets/review_00027_example_00046.png
review_00028,example_00046,scratch_dust,test,Output 00028,assets/review_00028_example_00046.png
review_00029,example_00046,scratch_dust,test,Output 00029,assets/review_00029_example_00046.png
review_00030,example_00046,scratch_dust,test,Output 00030,assets/review_00030_example_00046.png
review_00031,example_00045,blur_contrast,test,Output 00031,assets/review_00031_example_00045.png
review_00032,example_00045,blur_contrast,test,Output 00032,assets/review_00032_example_00045.png
review_00033,example_00045,blur_contrast,test,Output 00033,assets/review_00033_example_00045.png
review_00034,example_00045,blur_contrast,test,Output 00034,assets/review_00034_example_00045.png
review_00035,example_00045,blur_contrast,test,Output 00035,assets/review_00035_example_00045.png
review_00036,example_00043,scratch_dust,test,Output 00036,assets/review_00036_example_00043.png
review_00037,example_00043,scratch_dust,test,Output 00037,assets/review_00037_example_00043.png
review_00038,example_00043,scratch_dust,test,Output 00038,assets/review_00038_example_00043.png
review_00039,example_00043,scratch_dust,test,Output 00039,assets/review_00039_example_00043.png
review_00040,example_00043,scratch_dust,test,Output 00040,assets/review_00040_example_00043.png
review_00041,example_00024,blur_contrast,test,Output 00041,assets/review_00041_example_00024.png
review_00042,example_00024,blur_contrast,test,Output 00042,assets/review_00042_example_00024.png
review_00043,example_00024,blur_contrast,test,Output 00043,assets/review_00043_example_00024.png
review_00044,example_00024,blur_contrast,test,Output 00044,assets/review_00044_example_00024.png
review_00045,example_00024,blur_contrast,test,Output 00045,assets/review_00045_example_00024.png
review_00046,example_00044,grain,test,Output 00046,assets/review_00046_example_00044.png
review_00047,example_00044,grain,test,Output 00047,assets/review_00047_example_00044.png
review_00048,example_00044,grain,test,Output 00048,assets/review_00048_example_00044.png
review_00049,example_00044,grain,test,Output 00049,assets/review_00049_example_00044.png
review_00050,example_00044,grain,test,Output 00050,assets/review_00050_example_00044.png
review_00051,example_00053,grain,test,Output 00051,assets/review_00051_example_00053.png
review_00052,example_00053,grain,test,Output 00052,assets/review_00052_example_00053.png
review_00053,example_00053,grain,test,Output 00053,assets/review_00053_example_00053.png
review_00054,example_00053,grain,test,Output 00054,assets/review_00054_example_00053.png
review_00055,example_00053,grain,test,Output 00055,assets/review_00055_example_00053.png
review_00056,example_00025,scratch_dust,test,Output 00056,assets/review_00056_example_00025.png
review_00057,example_00025,scratch_dust,test,Output 00057,assets/review_00057_example_00025.png
review_00058,example_00025,scratch_dust,test,Output 00058,assets/review_00058_example_00025.png
review_00059,example_00025,scratch_dust,test,Output 00059,assets/review_00059_example_00025.png
review_00060,example_00025,scratch_dust,test,Output 00060,assets/review_00060_example_00025.png
review_00061,example_00004,scratch_dust,test,Output 00061,assets/review_00061_example_00004.png
review_00062,example_00004,scratch_dust,test,Output 00062,assets/review_00062_example_00004.png
review_00063,example_00004,scratch_dust,test,Output 00063,assets/review_00063_example_00004.png
review_00064,example_00004,scratch_dust,test,Output 00064,assets/review_00064_example_00004.png
review_00065,example_00004,scratch_dust,test,Output 00065,assets/review_00065_example_00004.png
review_00066,example_00048,blur_contrast,test,Output 00066,assets/review_00066_example_00048.png
review_00067,example_00048,blur_contrast,test,Output 00067,assets/review_00067_example_00048.png
review_00068,example_00048,blur_contrast,test,Output 00068,assets/review_00068_example_00048.png
review_00069,example_00048,blur_contrast,test,Output 00069,assets/review_00069_example_00048.png
review_00070,example_00048,blur_contrast,test,Output 00070,assets/review_00070_example_00048.png
review_00071,example_00054,blur_contrast,test,Output 00071,assets/review_00071_example_00054.png
review_00072,example_00054,blur_contrast,test,Output 00072,assets/review_00072_example_00054.png
review_00073,example_00054,blur_contrast,test,Output 00073,assets/review_00073_example_00054.png
review_00074,example_00054,blur_contrast,test,Output 00074,assets/review_00074_example_00054.png
review_00075,example_00054,blur_contrast,test,Output 00075,assets/review_00075_example_00054.png
review_00076,example_00022,scratch_dust,test,Output 00076,assets/review_00076_example_00022.png
review_00077,example_00022,scratch_dust,test,Output 00077,assets/review_00077_example_00022.png
review_00078,example_00022,scratch_dust,test,Output 00078,assets/review_00078_example_00022.png
review_00079,example_00022,scratch_dust,test,Output 00079,assets/review_00079_example_00022.png
review_00080,example_00022,scratch_dust,test,Output 00080,assets/review_00080_example_00022.png
review_00081,example_00122,grain,test,Output 00081,assets/review_00081_example_00122.png
review_00082,example_00122,grain,test,Output 00082,assets/review_00082_example_00122.png
review_00083,example_00122,grain,test,Output 00083,assets/review_00083_example_00122.png
review_00084,example_00122,grain,test,Output 00084,assets/review_00084_example_00122.png
review_00085,example_00122,grain,test,Output 00085,assets/review_00085_example_00122.png
review_00086,example_00047,grain,test,Output 00086,assets/review_00086_example_00047.png
review_00087,example_00047,grain,test,Output 00087,assets/review_00087_example_00047.png
review_00088,example_00047,grain,test,Output 00088,assets/review_00088_example_00047.png
review_00089,example_00047,grain,test,Output 00089,assets/review_00089_example_00047.png
review_00090,example_00047,grain,test,Output 00090,assets/review_00090_example_00047.png
review_00091,example_00006,blur_contrast,test,Output 00091,assets/review_00091_example_00006.png
review_00092,example_00006,blur_contrast,test,Output 00092,assets/review_00092_example_00006.png
review_00093,example_00006,blur_contrast,test,Output 00093,assets/review_00093_example_00006.png
review_00094,example_00006,blur_contrast,test,Output 00094,assets/review_00094_example_00006.png
review_00095,example_00006,blur_contrast,test,Output 00095,assets/review_00095_example_00006.png
review_00096,example_00027,blur_contrast,test,Output 00096,assets/review_00096_example_00027.png
review_00097,example_00027,blur_contrast,test,Output 00097,assets/review_00097_example_00027.png
review_00098,example_00027,blur_contrast,test,Output 00098,assets/review_00098_example_00027.png
review_00099,example_00027,blur_contrast,test,Output 00099,assets/review_00099_example_00027.png
review_00100,example_00027,blur_contrast,test,Output 00100,assets/review_00100_example_00027.png
review_00101,example_00005,grain,test,Output 00101,assets/review_00101_example_00005.png
review_00102,example_00005,grain,test,Output 00102,assets/review_00102_example_00005.png
review_00103,example_00005,grain,test,Output 00103,assets/review_00103_example_00005.png
review_00104,example_00005,grain,test,Output 00104,assets/review_00104_example_00005.png
review_00105,example_00005,grain,test,Output 00105,assets/review_00105_example_00005.png
