degradation_type,true_method,n_items,n_rated,artifact_removal_mean,detail_preservation_mean,texture_authenticity_mean,over_smoothing_mean,hallucination_risk_mean,overall_mean,human_composite_mean,choose_yes,choose_maybe,choose_no,choose_yes_or_maybe,choose_yes_rate,choose_yes_or_maybe_rate
blur_contrast,conditional_ddpm_v1_100_steps,7,7,3.7142857142857144,3.2857142857142856,3.2857142857142856,2.7142857142857144,2.2857142857142856,3.5714285714285716,6.214285714285714,2,2,3,4,0.2857142857142857,0.5714285714285714
blur_contrast,residual_ddpm_v1_full_test_50_steps,7,7,3.7142857142857144,3.142857142857143,3.142857142857143,2.5714285714285716,1.7142857142857142,3.4285714285714284,6.285714285714286,2,3,2,5,0.2857142857142857,0.7142857142857143
blur_contrast,conditional_ddpm_v1_50_steps,7,7,3.5714285714285716,3.2857142857142856,3.142857142857143,2.5714285714285716,1.8571428571428572,3.2857142857142856,6.071428571428571,2,3,2,5,0.2857142857142857,0.7142857142857143
blur_contrast,residual_ddpm_v1_conservative_test_50_steps,7,7,3.4285714285714284,2.857142857142857,3.0,2.7142857142857144,2.0,3.2857142857142856,5.571428571428571,3,1,3,4,0.42857142857142855,0.5714285714285714
grain,conditional_ddpm_v1_50_steps,7,7,3.7142857142857144,3.142857142857143,2.857142857142857,3.142857142857143,2.5714285714285716,3.142857142857143,5.142857142857143,3,1,3,4,0.42857142857142855,0.5714285714285714
grain,conditional_ddpm_v1_100_steps,7,7,4.142857142857143,3.0,2.857142857142857,2.7142857142857144,2.5714285714285716,3.0,5.357142857142857,2,4,1,6,0.2857142857142857,0.8571428571428571
scratch_dust,conditional_ddpm_v1_50_steps,7,7,4.142857142857143,3.142857142857143,3.2857142857142856,2.5714285714285716,3.0,3.0,5.5,2,3,2,5,0.2857142857142857,0.7142857142857143
scratch_dust,conditional_ddpm_v1_100_steps,7,7,4.0,3.0,3.4285714285714284,2.857142857142857,2.5714285714285716,3.0,5.5,4,0,3,4,0.5714285714285714,0.5714285714285714
blur_contrast,conditional_ddpm_v3_splitaware_50_steps,7,7,3.142857142857143,3.0,2.4285714285714284,2.857142857142857,2.0,2.857142857142857,4.714285714285714,0,4,3,4,0.0,0.5714285714285714
grain,residual_ddpm_v1_full_test_50_steps,7,7,4.428571428571429,2.4285714285714284,2.7142857142857144,3.142857142857143,2.7142857142857144,2.857142857142857,4.714285714285714,0,4,3,4,0.0,0.5714285714285714
grain,conditional_ddpm_v3_splitaware_50_steps,7,7,3.857142857142857,2.7142857142857144,2.4285714285714284,3.0,2.4285714285714284,2.857142857142857,4.642857142857143,1,2,4,3,0.14285714285714285,0.42857142857142855
grain,residual_ddpm_v1_conservative_test_50_steps,7,7,2.4285714285714284,2.857142857142857,2.857142857142857,2.0,2.0,2.2857142857142856,4.357142857142857,0,2,5,2,0.0,0.2857142857142857
scratch_dust,conditional_ddpm_v3_splitaware_50_steps,7,7,2.7142857142857144,2.5714285714285716,2.4285714285714284,3.4285714285714284,3.0,2.142857142857143,2.7857142857142856,0,1,6,1,0.0,0.14285714285714285
scratch_dust,residual_ddpm_v1_full_test_50_steps,7,7,3.2857142857142856,2.4285714285714284,2.5714285714285716,3.4285714285714284,2.857142857142857,2.0,3.0,0,2,5,2,0.0,0.2857142857142857
scratch_dust,residual_ddpm_v1_conservative_test_50_steps,7,7,1.4285714285714286,3.0,3.2857142857142856,2.2857142857142856,2.4285714285714284,1.5714285714285714,3.0714285714285716,0,0,7,0,0.0,0.0
