method,degradation_type,n_examples,mse_mean,mse_median,mae_mean,mae_median,psnr_mean,psnr_median,ssim_simple_mean,ssim_simple_median,edge_similarity_mean,edge_similarity_median,masked_mae_mean,masked_mae_median,outside_mask_mae_mean,outside_mask_mae_median,input_mae_mean,input_mae_median,input_psnr_mean,input_psnr_median,high_frequency_ratio_mean,high_frequency_ratio_median
inpaint_or_denoise,blur_contrast,50,0.010105371810495853,0.010312546044588089,0.09312689736485481,0.09276016056537628,20.06441623702415,19.866364312164286,0.9150413687963233,0.9226396772356762,0.27686031118082516,0.2678555031392399,0.09312689736485481,0.09276016056537628,,,0.09243859216570854,0.09160611033439636,20.197024805596286,20.054463899915767,0.23774254325757987,0.22865332215866013
median,blur_contrast,50,0.01002701004035771,0.010033974889665842,0.09321926370263099,0.0924379825592041,20.10240292564469,19.98535096851302,0.9165548226235306,0.9228785710130119,0.30078500471407277,0.2995994773113847,0.09321926370263099,0.0924379825592041,,,0.09243859216570854,0.09160611033439636,20.197024805596286,20.054463899915767,0.2894157972554497,0.29796560244288783
nl_means_denoise,blur_contrast,50,0.010105371810495853,0.010312546044588089,0.09312689736485481,0.09276016056537628,20.06441623702415,19.866364312164286,0.9150413687963233,0.9226396772356762,0.27686031118082516,0.2678555031392399,0.09312689736485481,0.09276016056537628,,,0.09243859216570854,0.09160611033439636,20.197024805596286,20.054463899915767,0.23774254325757987,0.22865332215866013
unchanged,blur_contrast,50,0.009823916386812926,0.009875486604869366,0.09243859216570854,0.09160611033439636,20.197024805596286,20.054463899915767,0.9189795091215991,0.9249418724569793,0.36050762383288526,0.3572550942669675,0.09243859216570854,0.09160611033439636,,,0.09243859216570854,0.09160611033439636,20.197024805596286,20.054463899915767,0.3230613559471663,0.3237734008416515
inpaint_or_denoise,grain,50,0.00448790515307337,0.00452202744781971,0.053436455205082896,0.05384485609829426,23.48804394730705,23.44668299918168,0.9622095153543754,0.9662864236004904,0.1933860067995632,0.20179699245140303,0.053436455205082896,0.05384485609829426,,,0.054927958548069,0.0552064161747694,23.284207431228477,23.272538097907585,3.7017464667378164,3.3650360431212194
median,grain,50,0.0016056932066567241,0.001511546375695616,0.029338962323963644,0.029002947732806206,28.0432932230667,28.20620898009373,0.9863651918454801,0.9874170165663694,0.34038910226825814,0.34379201014584654,0.029338962323963644,0.029002947732806206,,,0.054927958548069,0.0552064161747694,23.284207431228477,23.272538097907585,1.2911430862406847,1.1806127466615979
nl_means_denoise,grain,50,0.00448790515307337,0.00452202744781971,0.053436455205082896,0.05384485609829426,23.48804394730705,23.44668299918168,0.9622095153543754,0.9662864236004904,0.1933860067995632,0.20179699245140303,0.053436455205082896,0.05384485609829426,,,0.054927958548069,0.0552064161747694,23.284207431228477,23.272538097907585,3.7017464667378164,3.3650360431212194
unchanged,grain,50,0.004697217596694827,0.004707029554992914,0.054927958548069,0.0552064161747694,23.284207431228477,23.272538097907585,0.9607625456065335,0.9648040612399383,0.18425604522309486,0.19133923097432076,0.054927958548069,0.0552064161747694,,,0.054927958548069,0.0552064161747694,23.284207431228477,23.272538097907585,3.8255490876493563,3.4516954031213505
inpaint_or_denoise,scratch_dust,50,0.0012518649990670384,0.0011298234458081424,0.021624028012156488,0.02115753758698702,29.322944912970414,29.469894202266374,0.9895098470869048,0.9908755043197142,0.5734594993042027,0.5761584924170549,0.041185734160244465,0.03807496652007103,0.018823742344975473,0.01886188890784979,0.037992235608398914,0.03741455264389515,21.40949965694921,21.32783318827817,1.627542231150426,1.518166829614727
median,scratch_dust,50,0.007172869751229882,0.006671500625088811,0.0337414313480258,0.03369751013815403,21.877940861020807,21.757811438811313,0.9388980605638431,0.9478633551595501,0.338680672163876,0.3470177431598058,0.16188894763588904,0.15751097351312637,0.015745909437537193,0.01568269683048129,0.037992235608398914,0.03741455264389515,21.40949965694921,21.32783318827817,1.1212562574594744,1.0283772496054853
nl_means_denoise,scratch_dust,50,0.0076325101312249895,0.006994119845330715,0.03074305858463049,0.030568799935281277,21.636081526522098,21.55268105495704,0.9357785754429725,0.9441545841298572,0.46160059344821697,0.46903283052351374,0.17122614294290542,0.16793721914291382,0.010999265071004629,0.011406684294342995,0.037992235608398914,0.03741455264389515,21.40949965694921,21.32783318827817,1.368810555595626,1.295078555792728
unchanged,scratch_dust,50,0.007956970250234008,0.007365745026618242,0.037992235608398914,0.03741455264389515,21.40949965694921,21.32783318827817,0.9333450883483164,0.9422144876119976,0.4546252273544652,0.4559218087135407,0.17444127291440964,0.16999145597219467,0.018823742344975473,0.01886188890784979,0.037992235608398914,0.03741455264389515,21.40949965694921,21.32783318827817,2.0951558531703434,1.9138734894536573
