rank,frame_path,grain_score,manual_keep,notes
1,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000285.png,0.012411789037287235,,
2,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000284.png,0.011876948177814484,,
3,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000281.png,0.011382143944501877,,
4,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000050.png,0.011003145016729832,,
5,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000049.png,0.010954023338854313,,
6,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000282.png,0.010937425307929516,,
7,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000051.png,0.010874278843402863,,
8,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000047.png,0.010843019001185894,,
9,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000048.png,0.010820942930877209,,
10,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000055.png,0.01070848572999239,,
11,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000054.png,0.010567466728389263,,
12,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000278.png,0.010544615797698498,,
13,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000082.png,0.01052196603268385,,
14,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000053.png,0.010512170381844044,,
15,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000052.png,0.01040418166667223,,
16,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000056.png,0.010393048636615276,,
17,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000272.png,0.010185951367020607,,
18,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000283.png,0.010167254135012627,,
19,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000266.png,0.010148177854716778,,
20,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000027.png,0.01007008831948042,,
21,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000590.png,0.01006515696644783,,
22,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000586.png,0.010002054274082184,,
23,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000029.png,0.009995751082897186,,
24,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000279.png,0.009918211959302425,,
25,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000026.png,0.009883378632366657,,
26,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000273.png,0.009875205345451832,,
27,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000030.png,0.009808414615690708,,
28,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000372.png,0.009806022979319096,,
29,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000032.png,0.009769905358552933,,
30,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000591.png,0.00976322591304779,,
31,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000152.png,0.009718566201627254,,
32,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000025.png,0.009600152261555195,,
33,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000286.png,0.009553532116115093,,
34,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000085.png,0.00945387315005064,,
35,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000374.png,0.009444239549338818,,
36,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000028.png,0.009374216198921204,,
37,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000267.png,0.009359445422887802,,
38,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000270.png,0.009332253597676754,,
39,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000265.png,0.0093282051384449,,
40,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000269.png,0.009288671426475048,,
41,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000588.png,0.009287652559578419,,
42,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000031.png,0.009270773269236088,,
43,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000589.png,0.009224903769791126,,
44,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000035.png,0.009224588982760906,,
45,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000034.png,0.009174236096441746,,
46,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000024.png,0.009138171561062336,,
47,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000064.png,0.009130400605499744,,
48,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000083.png,0.009116084314882755,,
49,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000587.png,0.00909466203302145,,
50,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000373.png,0.009058433584868908,,
51,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000014.png,0.009029126726090908,,
52,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000371.png,0.009025865234434605,,
53,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000066.png,0.009025567211210728,,
54,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000300.png,0.009012007154524326,,
55,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000316.png,0.009007987566292286,,
56,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000059.png,0.009000309742987156,,
57,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000013.png,0.008998699486255646,,
58,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000368.png,0.008997579105198383,,
59,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000079.png,0.008975529111921787,,
60,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000061.png,0.008970125578343868,,
61,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000038.png,0.008968819864094257,,
62,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000063.png,0.008956295438110828,,
63,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000067.png,0.008953758515417576,,
64,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000042.png,0.00892252940684557,,
65,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000062.png,0.008916512131690979,,
66,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000039.png,0.0089057432487607,,
67,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000033.png,0.008905370719730854,,
68,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000060.png,0.008891087956726551,,
69,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000043.png,0.008879412896931171,,
70,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000237.png,0.008831373415887356,,
71,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000044.png,0.008827253244817257,,
72,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000299.png,0.008822786621749401,,
73,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000036.png,0.008778535760939121,,
74,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000037.png,0.00875763688236475,,
75,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000277.png,0.008754228241741657,,
76,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000544.png,0.008741531521081924,,
77,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000295.png,0.008735922165215015,,
78,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000041.png,0.008733936585485935,,
79,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000012.png,0.00873142946511507,,
80,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000543.png,0.008695418946444988,,
81,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000065.png,0.008681577630341053,,
82,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000271.png,0.008679620921611786,,
83,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000290.png,0.008664870634675026,,
84,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000238.png,0.008650078438222408,,
85,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000296.png,0.008641225285828114,,
86,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000084.png,0.00862014852464199,,
87,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000040.png,0.008618916384875774,,
88,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000204.png,0.008554638363420963,,
89,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000058.png,0.008509845472872257,,
90,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000008.png,0.008501382544636726,,
91,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000009.png,0.008478852920234203,,
92,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000297.png,0.008465887978672981,,
93,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000512.png,0.008465776219964027,,
94,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000268.png,0.008463092148303986,,
95,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000011.png,0.00846300832927227,,
96,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000023.png,0.008425001986324787,,
97,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000511.png,0.008394603617489338,,
98,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000292.png,0.00831611268222332,,
99,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000022.png,0.008303853683173656,,
100,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000239.png,0.00830089021474123,,
101,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000545.png,0.00830011535435915,,
102,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000585.png,0.008297604508697987,,
103,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000294.png,0.008248946629464626,,
104,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000010.png,0.00818018987774849,,
105,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000288.png,0.008164162747561932,,
106,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000287.png,0.008123782463371754,,
107,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000298.png,0.00811620894819498,,
108,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000078.png,0.00805327296257019,,
109,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000546.png,0.008043408393859863,,
110,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000510.png,0.0079340860247612,,
111,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000509.png,0.007911399938166142,,
112,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000584.png,0.007894417271018028,,
113,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000291.png,0.007868411019444466,,
114,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000206.png,0.007853265851736069,,
115,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000293.png,0.007823143154382706,,
116,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000315.png,0.007807926740497351,,
117,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000369.png,0.007650811690837145,,
118,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000313.png,0.007627595216035843,,
119,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000534.png,0.007621496915817261,,
120,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000370.png,0.007615030277520418,,
121,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000205.png,0.007609546650201082,,
122,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000081.png,0.0076078977435827255,,
123,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000240.png,0.00754782697185874,,
124,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000019.png,0.007470158394426107,,
125,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000264.png,0.007430190686136484,,
126,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000317.png,0.007404230069369078,,
127,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000242.png,0.007403098046779633,,
128,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000318.png,0.007348573300987482,,
129,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000020.png,0.00734597397968173,,
130,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000021.png,0.007334367837756872,,
131,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000080.png,0.007322291377931833,,
132,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000241.png,0.0073184240609407425,,
133,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000481.png,0.0073059299029409885,,
134,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000289.png,0.007300643250346184,,
135,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000123.png,0.007285463158041239,,
136,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000323.png,0.007230114191770554,,
137,data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000224.png,0.007188639137893915,,
