rank_clean_to_degraded,rank_degraded_to_clean,frame_path,degradation_score,high_frequency_score,laplacian_score,scratch_score,exposure_penalty,brightness,contrast,manual_keep,manual_notes
1,427,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000189.png,0.011308,0.008113,0.002314,0.001424,0.0,0.253364,0.251298,,
2,426,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000193.png,0.011615,0.007162,0.002018,0.002075,0.0,0.211164,0.218708,,
3,425,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000508.png,0.011628,0.003698,0.000785,0.003906,0.0,0.205424,0.115703,,
4,424,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000395.png,0.012031,0.005048,0.000977,0.003418,0.0,0.207591,0.164444,,
5,423,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000187.png,0.012161,0.009899,0.004227,0.000814,0.0,0.380184,0.319643,,
6,422,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000396.png,0.012492,0.004741,0.000837,0.00295,0.001151,0.198849,0.130849,,
7,421,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000190.png,0.012846,0.007718,0.002174,0.002401,0.0,0.239155,0.244087,,
8,420,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000391.png,0.012961,0.004863,0.00082,0.003988,0.0,0.309387,0.270469,,
9,419,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000538.png,0.013416,0.004636,0.001298,0.004293,0.0,0.343583,0.345224,,
10,418,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000338.png,0.013953,0.006077,0.000965,0.003866,0.0,0.242682,0.199167,,
11,417,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000188.png,0.014065,0.009956,0.004337,0.001729,0.0,0.437551,0.333965,,
12,416,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000539.png,0.014103,0.005125,0.001257,0.004395,0.0,0.357773,0.345238,,
13,415,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000105.png,0.014245,0.008793,0.002439,0.002543,0.0,0.27595,0.23183,,
