rank,frame_path,grain_score,manual_keep,notes
1,data\selected_frames\nosferatu_non_title_cards\nosferatu_000284.png,0.011876948177814484,,
2,data\selected_frames\nosferatu_non_title_cards\nosferatu_000282.png,0.010937425307929516,,
3,data\selected_frames\nosferatu_non_title_cards\nosferatu_000283.png,0.010167254135012627,,
4,data\selected_frames\nosferatu_non_title_cards\nosferatu_000279.png,0.009918211959302425,,
5,data\selected_frames\nosferatu_non_title_cards\nosferatu_000026.png,0.009883378632366657,,
6,data\selected_frames\nosferatu_non_title_cards\nosferatu_000025.png,0.009600152261555195,,
7,data\selected_frames\nosferatu_non_title_cards\nosferatu_000286.png,0.009553532116115093,,
8,data\selected_frames\nosferatu_non_title_cards\nosferatu_000265.png,0.0093282051384449,,
9,data\selected_frames\nosferatu_non_title_cards\nosferatu_000588.png,0.009287652559578419,,
10,data\selected_frames\nosferatu_non_title_cards\nosferatu_000589.png,0.009224903769791126,,
11,data\selected_frames\nosferatu_non_title_cards\nosferatu_000034.png,0.009174236096441746,,
12,data\selected_frames\nosferatu_non_title_cards\nosferatu_000024.png,0.009138171561062336,,
13,data\selected_frames\nosferatu_non_title_cards\nosferatu_000587.png,0.00909466203302145,,
14,data\selected_frames\nosferatu_non_title_cards\nosferatu_000300.png,0.009012007154524326,,
15,data\selected_frames\nosferatu_non_title_cards\nosferatu_000039.png,0.0089057432487607,,
16,data\selected_frames\nosferatu_non_title_cards\nosferatu_000033.png,0.008905370719730854,,
17,data\selected_frames\nosferatu_non_title_cards\nosferatu_000043.png,0.008879412896931171,,
18,data\selected_frames\nosferatu_non_title_cards\nosferatu_000044.png,0.008827253244817257,,
19,data\selected_frames\nosferatu_non_title_cards\nosferatu_000299.png,0.008822786621749401,,
20,data\selected_frames\nosferatu_non_title_cards\nosferatu_000036.png,0.008778535760939121,,
21,data\selected_frames\nosferatu_non_title_cards\nosferatu_000037.png,0.00875763688236475,,
22,data\selected_frames\nosferatu_non_title_cards\nosferatu_000295.png,0.008735922165215015,,
23,data\selected_frames\nosferatu_non_title_cards\nosferatu_000041.png,0.008733936585485935,,
24,data\selected_frames\nosferatu_non_title_cards\nosferatu_000290.png,0.008664870634675026,,
25,data\selected_frames\nosferatu_non_title_cards\nosferatu_000296.png,0.008641225285828114,,
26,data\selected_frames\nosferatu_non_title_cards\nosferatu_000040.png,0.008618916384875774,,
27,data\selected_frames\nosferatu_non_title_cards\nosferatu_000204.png,0.008554638363420963,,
28,data\selected_frames\nosferatu_non_title_cards\nosferatu_000297.png,0.008465887978672981,,
29,data\selected_frames\nosferatu_non_title_cards\nosferatu_000268.png,0.008463092148303986,,
30,data\selected_frames\nosferatu_non_title_cards\nosferatu_000292.png,0.00831611268222332,,
31,data\selected_frames\nosferatu_non_title_cards\nosferatu_000022.png,0.008303853683173656,,
32,data\selected_frames\nosferatu_non_title_cards\nosferatu_000585.png,0.008297604508697987,,
33,data\selected_frames\nosferatu_non_title_cards\nosferatu_000294.png,0.008248946629464626,,
34,data\selected_frames\nosferatu_non_title_cards\nosferatu_000288.png,0.008164162747561932,,
35,data\selected_frames\nosferatu_non_title_cards\nosferatu_000287.png,0.008123782463371754,,
36,data\selected_frames\nosferatu_non_title_cards\nosferatu_000509.png,0.007911399938166142,,
37,data\selected_frames\nosferatu_non_title_cards\nosferatu_000291.png,0.007868411019444466,,
38,data\selected_frames\nosferatu_non_title_cards\nosferatu_000206.png,0.007853265851736069,,
39,data\selected_frames\nosferatu_non_title_cards\nosferatu_000315.png,0.007807926740497351,,
40,data\selected_frames\nosferatu_non_title_cards\nosferatu_000313.png,0.007627595216035843,,
41,data\selected_frames\nosferatu_non_title_cards\nosferatu_000205.png,0.007609546650201082,,
42,data\selected_frames\nosferatu_non_title_cards\nosferatu_000240.png,0.00754782697185874,,
43,data\selected_frames\nosferatu_non_title_cards\nosferatu_000019.png,0.007470158394426107,,
44,data\selected_frames\nosferatu_non_title_cards\nosferatu_000264.png,0.007430190686136484,,
45,data\selected_frames\nosferatu_non_title_cards\nosferatu_000317.png,0.007404230069369078,,
46,data\selected_frames\nosferatu_non_title_cards\nosferatu_000242.png,0.007403098046779633,,
