frame_path,dark_fraction,bright_fraction,mid_fraction,contrast,component_count,component_density,title_card_score,auto_title_card,manual_keep,manual_notes
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000001.png,0.8909239523405326,0.00804803671916753,0.06943946681756735,0.15009404883028643,9,0.565877581816467,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000002.png,0.8995378666415166,0.011248388820773995,0.056059605771951335,0.1495911750570048,14,0.8802540161589487,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000003.png,0.8938853783520387,0.01629727435631425,0.05629224433336477,0.149527044038376,16,1.0060045898959413,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000004.png,0.8806124052940991,0.015630796315508188,0.07008079474362602,0.1551993301104779,15,0.943129303027445,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000005.png,0.878983935364205,0.011770253701782514,0.07484045395957119,0.15044398925952912,9,0.565877581816467,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000006.png,0.9999937124713132,0.0,0.0,0.0029804245744090574,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000007.png,0.9435379923920902,0.0,0.020220692256908424,0.035593060278360164,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000008.png,0.7747492847936118,0.021176396617309568,0.1296802791662737,0.1971617389091989,64,4.024018359583765,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000009.png,0.7897198905970009,0.010921437329057813,0.13180546386242886,0.18779147494919995,46,2.8922631959508314,7,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000010.png,0.7816278411770253,0.010663648652896979,0.13764029048382534,0.18973938577366373,49,3.0808890565563205,7,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000011.png,0.7855764091923669,0.015718821717124083,0.13078688421515924,0.19190874515243936,56,3.521016064635795,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000012.png,0.7833003238077274,0.02421327297305794,0.12511553333962086,0.19828482069967732,73,4.589895941400233,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000013.png,0.7855764091923669,0.027589675877896194,0.12068282561539187,0.20061245936084576,81,5.092898236348203,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000014.png,0.7718192964255399,0.03964915589927379,0.1211543902669056,0.21126096820039053,93,5.847401678770159,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000015.png,1.0,0.0,0.0,0.003539424645646087,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000016.png,0.8817630230437926,3.77251721210978e-05,0.09133264170517778,0.10629427408156518,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000017.png,0.8643780062246534,0.0005281524096953693,0.10766764123361312,0.13444419265167187,1,0.06287528686849633,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000018.png,0.8596937973529504,0.002093747052720928,0.10673079945927254,0.14850809898736037,9,0.565877581816467,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000019.png,0.8601150617749693,0.0036279040523122387,0.10271306862837562,0.15167375267689714,18,1.131755163632934,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000020.png,0.859498883963658,0.004728221572510924,0.10207174070231695,0.15306014195389492,27,1.6976327454494011,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000021.png,0.855110188940237,0.00497343519129806,0.1037882360338269,0.15563680846795627,28,1.7605080323178974,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000022.png,0.844157313967745,0.001854820962620642,0.1192429815461033,0.1513925891904383,14,0.8802540161589487,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000023.png,0.8323744852085888,0.008110912006036027,0.1168348580590399,0.1691065055468796,54,3.3952654908988023,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000024.png,0.8316577069382879,0.002244647741205319,0.1281335471093087,0.15861264398238126,13,0.8173787292904524,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000025.png,0.8249803514728536,0.001270080794743626,0.13714357571756422,0.15516227545040176,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000026.png,0.8314062057908139,0.003822817441604577,0.12380143984406929,0.16391182985796482,29,1.8233833191863937,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000027.png,0.8213084347197334,0.01358734949228206,0.11658964444025276,0.1798320382093435,91,5.721651105033167,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000028.png,0.8038605426137256,0.010141783771888459,0.13602439561130497,0.1821417671348199,52,3.2695149171618096,7,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000029.png,0.8230940928667987,0.004753371687258323,0.12751736929799742,0.1680003253349716,38,2.389260901002861,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000030.png,0.81626583671288,0.005583325473922475,0.13178031374768148,0.17146170996852378,43,2.7036373353453422,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000031.png,0.8259171932471941,0.006589330063818416,0.12302807381558678,0.16920152926118498,49,3.0808890565563205,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000032.png,0.8088842780345186,0.0044704328963500895,0.1400044012700808,0.17305880271020724,34,2.1377597535288753,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000033.png,0.8313873432047534,0.004168631519381307,0.12266339715174951,0.1631834751598856,28,1.7605080323178974,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000034.png,0.8392153164198811,0.002370398314942312,0.12139331635700588,0.153515651650096,15,0.943129303027445,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000035.png,0.8282184287465811,0.00446414536766324,0.12661825269577792,0.16510392692437975,32,2.0120091797918827,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000036.png,0.8576314879436637,0.002093747052720928,0.10796944261058192,0.14753454491953524,11,0.6916281555534597,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000037.png,0.827470212832846,0.003244364802414411,0.12788833349052156,0.16318109029023303,20,1.2575057373699268,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000038.png,0.838467100506146,0.004916847433116414,0.1150114747398535,0.16133868442216834,36,2.263510327265868,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000039.png,0.8503253796095445,0.0027539375648401396,0.11179226005218648,0.1515776944743824,14,0.8802540161589487,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000040.png,0.850928982363482,0.001804520733125845,0.11313779119117232,0.14863363597528823,8,0.5030022949479707,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000041.png,0.8446037285045113,0.0035147285359489453,0.11189914803986294,0.1582961756927451,25,1.5718821717124083,5,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000042.png,0.8470873023358169,0.005250086453519444,0.10858562042189318,0.1590469833526411,36,2.263510327265868,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000043.png,0.8530478795309504,0.002112609638781477,0.11109434436794619,0.1479526235699329,8,0.5030022949479707,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000044.png,0.8498098022572228,0.0028734006098902827,0.11108805683925933,0.1524848514962663,17,1.0688798767644376,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000045.png,0.9999182621270709,0.0,4.401270080794744e-05,0.005119869230907051,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000046.png,1.0,0.0,0.0,0.004523895035550904,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000047.png,0.7660787827344462,0.020057216511050333,0.14553113898582162,0.20337800690617291,121,7.607909711088056,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000048.png,0.7577918199251784,0.028570530353044736,0.14375805589613003,0.21190037829569125,140,8.802540161589487,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000049.png,0.7624823163255683,0.027382187431230155,0.14192209751956994,0.20942357272472542,138,8.676789587852495,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000050.png,0.7658084190009117,0.028218428746581155,0.13981577540947532,0.20876352512775093,127,7.9851614322990345,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000051.png,0.7476688987393505,0.03197208337263039,0.14575120248986137,0.2099214565309712,145,9.116916595931968,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000052.png,0.7540004401270081,0.02349649470275708,0.14985067119368733,0.20505424909386935,126,7.922286145430538,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000053.png,0.7439403942280487,0.0377503222358452,0.14551856392844792,0.21643272134984717,146,9.179791882800465,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000054.png,0.7544720047785218,0.021478197994278348,0.1484674148825804,0.20213080719963425,127,7.9851614322990345,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000055.png,0.754170203401553,0.02505580181709579,0.14621647961268824,0.2055044378557223,124,7.796535571693545,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000056.png,0.7488698167185388,0.02714326134112987,0.149152755509447,0.2088359776001627,140,8.802540161589487,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000057.png,1.0,0.0,0.0,0.003368432012180723,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000058.png,0.8096450690056274,0.014046339086422081,0.12080228866044201,0.18358346454355595,102,6.413279260586626,7,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000059.png,0.8097142318211827,0.023766858436291616,0.11291144015844572,0.1905212884655125,118,7.419283850482568,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000060.png,0.8073123958628061,0.023653682919928323,0.11506806249803515,0.19088412237169297,117,7.356408563614071,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000061.png,0.8027036373353453,0.032669999056870694,0.11215064918733691,0.20008872612993409,125,7.859410858562042,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000062.png,0.8059039894369519,0.02728787450092741,0.11385456946147317,0.19556833787620131,119,7.482159137351064,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000063.png,0.8015593071143388,0.029670847873243422,0.11394888239177592,0.19689319777264733,125,7.859410858562042,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000064.png,0.8165676380898488,0.01925241283913358,0.11128925775723851,0.18534518336651415,112,7.04203212927159,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000065.png,0.8155364833852055,0.013669087365211104,0.11729384765317992,0.18159009693178255,100,6.287528686849633,7,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000066.png,0.809827407337546,0.02180514948599453,0.11388600710490741,0.18844674801783265,117,7.356408563614071,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000067.png,0.8119022918042064,0.020484768461756106,0.11364708101480712,0.18766004403803122,114,7.167782703008582,9,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000068.png,0.9665251972712126,0.0,0.018460184224590524,0.03883639183518132,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000069.png,0.5612939734037536,0.08723317300135182,0.22424471061649218,0.2656883586792214,21,1.320381024238423,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000070.png,0.47370869879593824,0.09744411958879562,0.27407337545977556,0.26868700159197295,25,1.5718821717124083,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000071.png,0.9879530950359962,0.0,0.0036467666383727874,0.017541658061316204,0,0.0,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000072.png,0.21932786318337577,0.3825583954226791,0.23346222767141375,0.368706353863873,6,0.377251721210978,4,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000073.png,0.18940551416265836,0.37791191172309724,0.247125027507938,0.3521155984483573,7,0.44012700807947436,4,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000074.png,0.39881165707818544,0.22826872897607595,0.21340501116036342,0.3270546140441106,7,0.44012700807947436,4,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000075.png,0.1752334245024993,0.28403282089974535,0.35005815964035336,0.3082642580170139,15,0.943129303027445,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000076.png,0.4610204659058757,0.05458832405922852,0.2926152975572951,0.20842532744984316,13,0.8173787292904524,3,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000077.png,0.562488603854255,0.03879405199786224,0.19596969411172938,0.18860217326063625,6,0.377251721210978,4,0,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000078.png,0.14981294602156622,0.09395454116759408,0.4683391492973687,0.23955830782673407,44,2.7665126222138388,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000079.png,0.06366122795435254,0.15726366751548304,0.5367977616397874,0.24684738393748792,49,3.0808890565563205,6,1,,
data\raw_frames\nosferatu_1of5_20min_fps0_5\nosferatu_000080.png,0.3630104687352636,0.057556037599421545,0.3435882926215851,0.23844082451687634,50,3.1437643434248166,6,1,,
